Comment,Description,Designator,Footprint,LibRef,Quantity

"Cap","Capacitor","C?, C?, C?, C?, C?, C?, C?, C?, C?, C?_NeoPixel1, C?_NeoPixel2, C?_NeoPixel3, C?_NeoPixel4, C?_NeoPixel5, C?_NeoPixel6, C?_NeoPixel7, C?_NeoPixel8, C?_NeoPixel9, C?_NeoPixel10, C?_NeoPixel11, C?_NeoPixel12, C?_NeoPixel13, C?_NeoPixel14, C?_NeoPixel15, C?_NeoPixel16, C?_NeoPixel17, C?_NeoPixel18, C?_NeoPixel19, C?_NeoPixel20, C?_NeoPixel21, C?_NeoPixel22, C?_NeoPixel23, C?_NeoPixel24, C?_NeoPixel25, C?_NeoPixel26, C?_NeoPixel27, C?_NeoPixel28, C?_NeoPixel29, C?_NeoPixel30, C?_NeoPixel31, C?_NeoPixel32, C?_NeoPixel33, C?_NeoPixel34, C?_NeoPixel35, C?_NeoPixel36, C?_NeoPixel37, C?_NeoPixel38, C?_NeoPixel39, C?_NeoPixel40, C?_NeoPixel41, C?_NeoPixel42, C?_NeoPixel43, C?_NeoPixel44, C?_NeoPixel45, C?_NeoPixel46, C?_NeoPixel47, C?_NeoPixel48, C?_NeoPixel49, C?_NeoPixel50, C?_NeoPixel51, C?_NeoPixel52, C?_NeoPixel53, C?_NeoPixel54, C?_NeoPixel55, C?_NeoPixel56, C?_NeoPixel57, C?_NeoPixel58, C?_NeoPixel59, C?_NeoPixel60","RAD-0.3","Cap","69"
"1-215876-3","Tyco 1-215876-3","J?","","1-215876-3","1"
"16pin fem","pas 2.54mm","J?","","16pin fem","1"
"LDR","Photoresistor","LDR?","","LDR","1"
"Header 6","Header, 6-Pin","P?","HDR1X6","Header 6","2"
"3306P-1-202","Trimpot","R?","3306P-1-202","3306P-1-202","2"
"Res1","Resistor","R?","AXIAL-0.3","Res1","5"
"EC11B152420G-STEC11B01","Rotary coder","S?","EC11B152420G-STEC11B01","EC11B152420G-STEC11B01","1"
"SW-PB","Switch","S?","SPST-2","SW-PB","2"
"BMP280","Temp. sensor","U?","","BMP280","1"
"HC-06","Bluetooth","U?","","HC-06","1"
"MC42003A6W-BNMLW","LCD","U?","MC42004A6W-BNMLW","MC42003A6W-BNMLW","1"
"PIC32MX110F016D-I/PT","Microcontroller","U?","","PIC32MX110F016D-I/PT","1"
"WS2012B","Neopixel","U?_NeoPixel1, U?_NeoPixel2, U?_NeoPixel3, U?_NeoPixel4, U?_NeoPixel5, U?_NeoPixel6, U?_NeoPixel7, U?_NeoPixel8, U?_NeoPixel9, U?_NeoPixel10, U?_NeoPixel11, U?_NeoPixel12, U?_NeoPixel13, U?_NeoPixel14, U?_NeoPixel15, U?_NeoPixel16, U?_NeoPixel17, U?_NeoPixel18, U?_NeoPixel19, U?_NeoPixel20, U?_NeoPixel21, U?_NeoPixel22, U?_NeoPixel23, U?_NeoPixel24, U?_NeoPixel25, U?_NeoPixel26, U?_NeoPixel27, U?_NeoPixel28, U?_NeoPixel29, U?_NeoPixel30, U?_NeoPixel31, U?_NeoPixel32, U?_NeoPixel33, U?_NeoPixel34, U?_NeoPixel35, U?_NeoPixel36, U?_NeoPixel37, U?_NeoPixel38, U?_NeoPixel39, U?_NeoPixel40, U?_NeoPixel41, U?_NeoPixel42, U?_NeoPixel43, U?_NeoPixel44, U?_NeoPixel45, U?_NeoPixel46, U?_NeoPixel47, U?_NeoPixel48, U?_NeoPixel49, U?_NeoPixel50, U?_NeoPixel51, U?_NeoPixel52, U?_NeoPixel53, U?_NeoPixel54, U?_NeoPixel55, U?_NeoPixel56, U?_NeoPixel57, U?_NeoPixel58, U?_NeoPixel59, U?_NeoPixel60","WS2812b","WS2012B","60"
"XTAL","Crystal Oscillator","Y?","R38","XTAL","2"
