"Bill of Material for "
"On 2/8/2016 at 12:23:18 PM"

"Comment","Pattern","Quantity","Components"

"100nF","CAPC1608N","7","C1, C2, C3, C4, C5, C6, C15","Capacitor"
"10uF","CAPC2012N","4","C9, C11, C12, C13","Capacitor"
"12V Battery","PHOENIX_1985195","1","P2","Header, 2-Pin"
"12V Main","PHOENIX_1985195","1","P1","Header, 2-Pin"
"1k?","PDB181-K415K-102A2","1","R1","Potentiometer"
"1uF","CAPC1608N","2","C10, C14","Capacitor"
"20pF","CAPC1005N","2","C7, C8","Capacitor"
"330?","RESC1608N","4","R2_LED0, R2_LED1, R2_LED2, R2_LED3","Resistor"
"4.7k?","RESC1608N","1","R3","Resistor"
"470?","RESC1608N","1","R4","Resistor"
"600r","INDC1608AN","1","FB1","Inductor"
"8MHz","R38","1","Y1","Crystal Oscillator"
"AP1117","TD03B_N","1","U2","1A LDO, 18V input, DPAK"
"GF1A","SMA/DO-214AC_21","2","D2, D3","Default Diode"
"Green LED","LED 0805","5","D1_LED0, D1_LED1, D1_LED2, D1_LED3, D4","Typical INFRARED GaAs LED"
"PIC32MX764F128H-I/PT","","1","U1","PIC32MX764F128H"
"Program / Debug","","1","J1",""
