"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
""
"P2","PHOENIX_1985195","1145.664mil","452.754mil","1145.664mil","452.754mil","1076.767mil","551.179mil","T","0.00","12V Battery"
"P1","PHOENIX_1985195","1440.939mil","452.754mil","1440.939mil","452.754mil","1372.042mil","551.179mil","T","0.00","12V Main"
"J1","RJ12_90","285mil","265mil","285mil","265mil","410.197mil","340.197mil","T","270.00","Program / Debug"
"C1","CAPC1608N","315mil","560mil","315mil","560mil","346.496mil","560mil","T","180.00","100nF"
"C2","CAPC1608N","910.433mil","655.512mil","910.433mil","655.512mil","878.937mil","655.512mil","T","360.00","100nF"
"C3","CAPC1608N","956.693mil","811.024mil","956.693mil","811.024mil","925.197mil","811.024mil","T","360.00","100nF"
"C4","CAPC1608N","1208.661mil","1125.984mil","1208.661mil","1125.984mil","1208.661mil","1157.48mil","T","270.00","100nF"
"C5","CAPC1608N","483.268mil","629.921mil","483.268mil","629.921mil","451.772mil","629.921mil","T","360.00","100nF"
"C6","CAPC1608N","791.339mil","1007.874mil","791.339mil","1007.874mil","791.339mil","976.378mil","T","90.00","100nF"
"C7","CAPC1608N","624.016mil","1299.213mil","624.016mil","1299.213mil","655.512mil","1299.213mil","T","180.00","20pF"
"C8","CAPC1608N","465.551mil","1299.213mil","465.551mil","1299.213mil","497.047mil","1299.213mil","T","360.00","20pF"
"C9","CAPC2012N","82.677mil","1181.102mil","82.677mil","1181.102mil","82.677mil","1232.284mil","T","270.00","10uF"
"C10","CAPC1608N","169.291mil","933.071mil","169.291mil","933.071mil","169.291mil","901.575mil","T","90.00","1uF"
"C11","CAPC2012N","1381.89mil","1059.055mil","1381.89mil","1059.055mil","1381.89mil","1110.236mil","T","270.00","10uF"
"C12","CAPC2012N","1460.63mil","1511.811mil","1460.63mil","1511.811mil","1460.63mil","1460.63mil","T","90.00","10uF"
"C13","CAPC2012N","1216.535mil","1307.086mil","1216.535mil","1307.087mil","1267.716mil","1307.086mil","T","180.00","10uF"
"C14","CAPC1608N","956.693mil","921.26mil","956.693mil","921.26mil","925.197mil","921.26mil","T","0.00","1uF"
"C15","CAPC1608N","791.339mil","877.953mil","791.339mil","877.953mil","791.339mil","909.449mil","T","270.00","100nF"
"D1","LED_0805","1505mil","2165mil","1505mil","2165mil","1505mil","2118.74mil","T","90.00","Green LED"
"D1","LED_0805","1300mil","2165mil","1300mil","2165mil","1300mil","2118.74mil","T","90.00","Green LED"
"D1","LED_0805","355mil","2163.504mil","355mil","2163.504mil","355mil","2117.244mil","T","90.00","Green LED"
"D1","LED_0805","155mil","2165mil","155mil","2165mil","155mil","2118.74mil","T","90.00","Green LED"
"D2","SMA/DO-214AC","1381.89mil","838.583mil","1381.89mil","838.583mil","1381.89mil","740.158mil","T","90.00","GF1A"
"D3","SMA/DO-214AC","1212.598mil","838.583mil","1212.598mil","838.583mil","1212.598mil","740.158mil","T","90.00","GF1A"
"D4","LED_0805","1381.89mil","1216.535mil","1381.89mil","1216.535mil","1381.89mil","1262.795mil","T","270.00","Green LED"
"FB1","INDC1608AN","1066.929mil","1102.362mil","1066.929mil","1102.362mil","1099.409mil","1102.362mil","T","0.00","600r"
"R1","PDB181-K","795mil","2130mil","795mil","2130mil","598.15mil","2130mil","T","0.00","1k?"
"R2","RESC1608N","1505mil","2000mil","1505mil","2000mil","1505mil","2031.496mil","T","270.00","330?"
"R2","RESC1608N","1300mil","2000mil","1300mil","2000mil","1300mil","2031.496mil","T","270.00","330?"
"R2","RESC1608N","355mil","2000mil","355mil","2000mil","355mil","2031.496mil","T","270.00","330?"
"R2","RESC1608N","155mil","2000mil","155mil","2000mil","155mil","2031.496mil","T","270.00","330?"
"R3","RESC1608N","318.898mil","653.543mil","318.898mil","653.543mil","350.394mil","653.543mil","T","180.00","4.7k?"
"R4","RESC1608N","1440.945mil","1330.709mil","1440.945mil","1330.709mil","1409.449mil","1330.709mil","T","360.00","470?"
"U2","TD03B_N","1166.339mil","1500.984mil","1166.339mil","1500.984mil","1308.071mil","1412.402mil","T","90.00","AP1117"
"Y1","HC49SDLF","425.197mil","1496.063mil","425.197mil","1496.063mil","248.031mil","1496.063mil","T","360.00","8MHz"
"U1","QFP50P1200X1200X120-64","450.984mil","940mil","450mil","940mil","302.362mil","747.087mil","T","90.00","PIC32MX764F128H-I/PT"

